title,text,image,cate
人最多感染8次新冠,"用奥密克戎间隔最短的3个月来算，1年半时间也就6次，所以目前地球上明确感染了8次的人应该是没有，现在说新冠重阳8次就会死是无稽之谈。
从初次感染后半年左右保护效果明显降低的情况来看，以后感染多次的机会是很大，只不过后续的感染通常会症状比较轻，也没有证据显示它会像HIV那样破坏免疫系统。",//jiaozhen-70111.picnjc.qpic.cn/6kjTcvbdxm17rz2ajFLXMU?imageView2/2/w/300/h/300,fake
新冠痊愈标准是能憋气40秒,"临床上从未将“憋气40秒以上”作为新冠痊愈的标准。
这个谣言，很可能是“憋气 30 秒可以测试肺部健康”的变种谣言。但简单的憋气并不能反映肺部的真实状态。临床上很多病人的憋气时间或者肺功能检查仍然正常，而一些肺脏功能正常的人，也因为各种原因无法完成憋气。",//jiaozhen-70111.picnjc.qpic.cn/3eZUj6xgr96HUXToZ4Bbup?imageView2/2/w/300/h/300,fake
XBB病毒主攻拉肚子，要准备蒙脱石散,"世界卫生组织曾发表过声明：目前的数据并不表明XBB感染的疾病严重程度和奥密克戎其他毒株存在重大差异，也没有提及主要攻击胃肠道、腹泻这些说法。
新冠感染可以出现胃肠道症状，但腹泻、呕吐都不是新冠的主要症状，即便遇到腹泻，病毒性的腹泻也主要是靠自愈，儿童在过程中更值得重视的是通过补液盐预防脱水，而不是吃蒙脱石来止泻。",//jiaozhen-70111.picnjc.qpic.cn/kiUWFqY8xVUtbGJRKDbcku?imageView2/2/w/300/h/300,fake
感染过新冠的人都要去拍肺部CT,"虽然omicron是会引起肺炎，但是依然很少见。平素健康的人罕见。
诊断肺炎，首先是靠病情和查体，不是扫描CT。一个症状只是局限于上呼吸道的人，不要去考虑肺炎。不要去做肺部CT。
再进一步说，如果一个人没有肺部症状，也没有肺部体征，如果只是肺CT里面有一些渗出，合格的临床医生也依然不会诊断肺炎。
所有的辅助检查结果只是辅助作用，不能替代医生的判断。不建议滥用CT去过度诊断肺炎。这是百害无一利的。
还有，对于绝大部分人来说，单纯肺部CT的一些小渗出改变，对临床治疗和决策没有任何影响，影响不了治疗。",//jiaozhen-70111.picnjc.qpic.cn/kWmnQRtzDgTZgReFhE2wG6?imageView2/2/w/300/h/300,fake
新冠康复期不能喝咖啡,"部分研究提示喝咖啡可能对于新冠康复有利，但是研究证据不太充分。迄今还没有研究提示喝咖啡对新冠康复不利。
但可以肯定的是，正常喝咖啡摄入的咖啡因含量不会引起心律失常或者其他额外风险。",//jiaozhen-70111.picnjc.qpic.cn/k7488FMD7NSNchdr79wsA9?imageView2/2/w/300/h/300,fake
感染新冠后就会阳痿,"有不少研究，都发现部分新冠患者出现了阳痿的问题。但是，这只能说明新冠感染与阳痿之间有相关性，并不能说明两者之间有直接的因果关系。
导致阳痿的因素有很多，在疫情期间，增大的压力，焦虑的情绪，都会导致抑郁症，也会导致勃起功能障碍。如果我们只是片面地放大病毒的危害，忽视其他因素所带来的危害，那我们只会陷入认知误区。",https://inews.gtimg.com/newsapp_bt/0/10316233948/641?imageView2/2/w/300/h/300,fake
健康码要作废，赶紧截屏疫苗接种记录保存,上海辟谣平台核查发现，截至12月13日12时，全国尚无省市发布过健康码作废的通知。上海市大数据中心也表示，没有停用“随申码”的说法，因为“随申码”的本质是“市民服务随身码”。它的应用并不局限于疫情防控，而是涉及本市公共管理和服务领域的多种场景。,//jiaozhen-70111.picnjc.qpic.cn/63F2c9GMFCzM4DLq4wim4t?imageView2/2/w/300/h/300,fake
网传的68分钟新冠讲座录音来自张文宏医生,"较真联系了张文宏医生团队，团队成员否认该录音来自张文宏医生。另外，张文宏医生好友、知名大V张强医生也在朋友圈进行了辟谣。截止目前，并没有人公开认领这段录音。但网传录音有“就我了解的情况，杭州定点医院全部满床”的说法。并且，12月19日时有一位微博认证用户称之为“杭州名医在群里的录音”，整理的概要与网传文本一致。
",//jiaozhen-70111.picnjc.qpic.cn/vEvXwy79ZU2bTPeZZNrwC8?imageView2/2/w/300/h/300,fake
阳了之后不能洗澡,感染新冠病毒后能否洗澡，关键取决于发烧者本人的情况。如果发烧者正处于急性期，身体状况很不好，懒得动，也不会想去洗澡。如果自己有洗澡的愿望，也是可以洗澡的，但要注意控制好水温，以自己感觉舒服为准。水温过高或者过低都可能增加不适感。至于有人说洗澡后又发烧了，这可能是一种巧合。,//jiaozhen-70111.picnjc.qpic.cn/fwDzqmQhoPXmwy22k64s7r?imageView2/2/w/300/h/300,fake
黄豆煮水能退烧,人体感染病毒、细菌等致病微生物一般都会发烧，发烧是人体抵抗外来微生物的一种正常反应。退烧最有效的方法当然是吃退烧药。至于煮黄豆水，无论从成分，还是实际效果看，都不能退烧。如果喝完感觉好一点，那也是水的作用。多喝水总是好的。,//jiaozhen-70111.picnjc.qpic.cn/4xCn5NhNNm9uT1ozypDneY?imageView2/2/w/300/h/300,fake
